,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref,Case,Class
117,0.8824666050575485,1149,250,0.7896556908735528,8921349,5252,5502,6401,BraTS20_189,1
118,0.9390853768753389,6265,1823,0.8851658337119491,8857568,62344,64167,68609,BraTS20_189,2
119,0.9694489043667036,690,661,0.9407092074080575,8905214,21435,22096,22125,BraTS20_189,3
120,0.2863070539419087,257,87,0.16707021791767554,8927587,69,156,326,BraTS20_190,1
121,0.8498132813768469,6399,3776,0.7388481084133258,8889038,28787,32563,35186,BraTS20_190,2
122,0.8875733949369525,548,1788,0.7978714199186641,8916443,9221,11009,9769,BraTS20_190,3
123,0.9726206756088336,674,267,0.9467006513735485,8910345,16714,16981,17388,BraTS20_192,1
124,0.9399638310495428,7138,1261,0.8867280745525901,8853851,65750,67011,72888,BraTS20_192,2
125,0.9532960780843047,1025,822,0.9107600135285308,8907303,18850,19672,19875,BraTS20_192,3
126,0.7399620012666245,693,1360,0.587253719340571,8923026,2921,4281,3614,BraTS20_199,1
127,0.9057024497519562,428,8791,0.8276564719958125,8874508,44273,53064,44701,BraTS20_199,2
128,0.9269822631481367,3533,1193,0.8639020878329734,8893275,29999,31192,33532,BraTS20_199,3
129,0.33306645316253003,111,722,0.19980787704130643,8926959,208,930,319,BraTS20_206,1
130,0.8296098873820908,2166,4355,0.7088319342739775,8905604,15875,20230,18041,BraTS20_206,2
131,0.9350570649429351,467,176,0.8780349013657056,8922728,4629,4805,5096,BraTS20_206,3
132,0.7857256820720098,2671,1358,0.6470742817098809,8916584,7387,8745,10058,BraTS20_215,1
133,0.8182711859841905,288,13207,0.6924356724479795,8884123,30382,43589,30670,BraTS20_215,2
134,0.9019869423726072,3632,1217,0.8214719634770443,8900839,22312,23529,25944,BraTS20_215,3
135,0.3120963518938733,7644,4179,0.18490175801447778,8913495,2682,6861,10326,BraTS20_236,1
136,0.8628293677044001,7411,25974,0.7587510116776506,8789616,104999,130973,112410,BraTS20_236,2
137,0.6282516467567266,24673,1965,0.45799336683826075,8878853,22509,24474,47182,BraTS20_236,3
138,0.8410855120163945,1997,562,0.7257528667881256,8918669,6772,7334,8769,BraTS20_242,1
139,0.7760431058303399,1860,7866,0.6340444745456598,8901423,16851,24717,18711,BraTS20_242,2
140,0.854036180968429,616,8566,0.7452557984685384,8891956,26862,35428,27478,BraTS20_242,3
141,0.8550172437162091,7230,2397,0.7467511969274477,8889986,28387,30784,35617,BraTS20_244,1
142,0.9349475197699497,5768,5543,0.877841737496355,8835407,81282,86825,87050,BraTS20_244,2
143,0.7722634830290831,4685,8439,0.6290140208050656,8892624,22252,30691,26937,BraTS20_244,3
144,0.011454753722794959,42,821,0.00576036866359447,8927132,5,826,47,BraTS20_250,1
145,0.8984777383541261,3801,11278,0.8156691604322527,8846196,66725,78003,70526,BraTS20_250,2
146,0.7622531089978054,1134,166,0.6158392434988179,8924616,2084,2250,3218,BraTS20_250,3
147,0.6163389513108615,6428,128,0.4454407037726273,8916178,5266,5394,11694,BraTS20_253,1
148,0.8581998959477426,2642,2264,0.7516200891049007,8908248,14846,17110,17488,BraTS20_253,2
149,0.8329448782193217,404,5330,0.7137151130860253,8907971,14295,19625,14699,BraTS20_253,3
150,0.8553188330487714,8785,960,0.7472114137483787,8889450,28805,29765,37590,BraTS20_258,1
151,0.8771069619877336,7187,7300,0.781113545365264,8861815,51698,58998,58885,BraTS20_258,2
152,0.907383711499991,1085,4054,0.8304687757727708,8897687,25174,29228,26259,BraTS20_258,3
153,0.7825747457104696,9694,887,0.6428113290348716,8898377,19042,19929,28736,BraTS20_266,1
154,0.7287500463770267,4896,9726,0.5732547279943965,8893736,19642,29368,24538,BraTS20_266,2
155,0.0,0,234,0.0,8927766,0,234,0,BraTS20_266,3
156,0.27977738992985807,41545,2197,0.16264022359202113,8875762,8496,10693,50041,BraTS20_267,1
157,0.46200236836643754,5406,38663,0.30039211950913625,8865009,18922,57585,24328,BraTS20_267,2
158,0.7077147724507179,2348,54,0.5476459510357815,8922690,2908,2962,5256,BraTS20_267,3
159,0.8811721306429386,17748,7345,0.787585074323638,8809868,93039,100384,110787,BraTS20_273,1
160,0.7176025965941932,38121,25393,0.5595789532077774,8783788,80698,106091,118819,BraTS20_273,2
161,0.5225995052844614,114,2009,0.3537290715372907,8924715,1162,3171,1276,BraTS20_273,3
162,0.32879377431906615,1163,217,0.19674039580908032,8926282,338,555,1501,BraTS20_276,1
163,0.9308986752595775,4336,2805,0.87073007367716,8872759,48100,50905,52436,BraTS20_276,2
164,0.8105130626377085,0,1204,0.681397195025139,8924221,2575,3779,2575,BraTS20_276,3
165,0.8919257149733264,23842,3102,0.8049331412395838,8789873,111183,114285,135025,BraTS20_279,1
166,0.6576220648527767,10034,8338,0.48989338071968014,8891984,17644,25982,27678,BraTS20_279,2
167,0.0,0,1439,0.0,8926561,0,1439,0,BraTS20_279,3
168,0.09696036937283571,9,2338,0.0509502628386575,8925527,126,2464,135,BraTS20_280,1
169,0.9379743179013156,2692,2032,0.8831936305417502,8887557,35719,37751,38411,BraTS20_280,2
170,0.7603833865814696,215,85,0.6134020618556701,8927224,476,561,691,BraTS20_280,3
171,0.2234808702175544,12865,49241,0.12579705248933745,8856957,8937,58178,21802,BraTS20_281,1
172,0.6307483076048676,59118,13646,0.4606518371370755,8793089,62147,75793,121265,BraTS20_281,2
173,0.0,0,171,0.0,8927829,0,171,0,BraTS20_281,3
174,0.8501981823965883,572,16851,0.7394301951693711,8861135,49442,66293,50014,BraTS20_292,1
175,0.6277244563236545,10274,5047,0.45743324598059354,8899762,12917,17964,23191,BraTS20_292,2
176,0.4692562951395667,2613,106,0.3065544503953073,8924079,1202,1308,3815,BraTS20_292,3
177,0.8648293963254593,1913,26927,0.761849710982659,8806900,92260,119187,94173,BraTS20_307,1
178,0.6044691637544913,29020,3124,0.43314640426057205,8871294,24562,27686,53582,BraTS20_307,2
179,0.015267175572519083,31,98,0.007692307692307693,8927870,1,99,32,BraTS20_307,3
180,0.7949149576749266,28115,5876,0.6596339094386477,8828134,65875,71751,93990,BraTS20_310,1
181,0.7169287105117848,19705,28996,0.5587598416279344,8817627,61672,90668,81377,BraTS20_310,2
182,,0,0,,8928000,0,0,0,BraTS20_310,3
183,0.4141914191419142,185,1235,0.2611862643080125,8926078,502,1737,687,BraTS20_314,1
184,0.5471990283892516,14803,110,0.37665106169536866,8904076,9011,9121,23814,BraTS20_314,2
185,0.8965392281210364,336,235,0.81247947454844,8924955,2474,2709,2810,BraTS20_314,3
186,0.886634459452568,27624,5721,0.7963552195235158,8764259,130396,136117,158020,BraTS20_318,1
187,0.6941181508071307,3679,39183,0.5315321223249612,8836506,48632,87815,52311,BraTS20_318,2
188,0.2383857343969967,1601,22,0.13532232285562068,8926123,254,276,1855,BraTS20_318,3
189,0.6367892168968943,66144,37,0.46712454507391543,8803804,58015,58052,124159,BraTS20_326,1
190,0.0,0,42348,0.0,8885652,0,42348,0,BraTS20_326,2
191,0.3647994467496542,139,3535,0.22309156269824487,8923271,1055,4590,1194,BraTS20_326,3
192,0.02842624078248577,65,25364,0.014418045812177822,8902199,372,25736,437,BraTS20_332,1
193,0.676746429277023,24963,2852,0.5114261123113945,8871069,29116,31968,54079,BraTS20_332,2
194,0.8606382978723405,311,213,0.7553688141923436,8925858,1618,1831,1929,BraTS20_332,3
195,0.716529194432166,17197,16792,0.5582746341590206,8851054,42957,59749,60154,BraTS20_335,1
196,0.6587795673911278,31577,14628,0.4911791912606819,8837192,44603,59231,76180,BraTS20_335,2
197,0.0,0,714,0.0,8927286,0,714,0,BraTS20_335,3
198,0.9037778121137207,4635,347,0.8244476549561295,8899621,23397,23744,28032,BraTS20_343,1
199,0.8790418002280403,14483,8007,0.7841878496511885,8823789,81721,89728,96204,BraTS20_343,2
200,0.9176436986790432,1035,4732,0.8478203504327634,8890104,32129,36861,33164,BraTS20_343,3
201,0.020876826722338204,205,264,0.010548523206751054,8927526,5,269,210,BraTS20_345,1
202,0.8396614947192445,20827,5452,0.7236349486791183,8832912,68809,74261,89636,BraTS20_345,2
203,0.8668581488001482,1264,173,0.7650040883074407,8921885,4678,4851,5942,BraTS20_345,3
204,0.9161290322580645,346,993,0.8452380952380952,8919348,7313,8306,7659,BraTS20_347,1
205,0.9699603634834253,2967,1747,0.941672853254145,8847180,76106,77853,79073,BraTS20_347,2
206,0.9566647479648055,1614,494,0.9169293820933165,8902624,23268,23762,24882,BraTS20_347,3
207,0.96826688364524,240,111,0.9384858044164038,8922294,5355,5466,5595,BraTS20_353,1
208,0.963936507936508,1459,813,0.9303836254442946,8895364,30364,31177,31823,BraTS20_353,2
209,0.9160861304623179,441,1149,0.8451650598889863,8917731,8679,9828,9120,BraTS20_353,3
210,0.9263266357547656,168,1405,0.8627639155470249,8916538,9889,11294,10057,BraTS20_357,1
211,0.8862206028486254,2494,5750,0.7956877323420074,8887650,32106,37856,34600,BraTS20_357,2
212,0.8741288885695812,2541,963,0.7764022717120797,8912329,12167,13130,14708,BraTS20_357,3
213,0.9178296135825482,1424,1838,0.8481378026070764,8906520,18218,20056,19642,BraTS20_364,1
214,0.9316933662155721,2904,3688,0.8721216706434655,8876451,44957,48645,47861,BraTS20_364,2
215,0.8978822368652877,5027,769,0.814688109473415,8896723,25481,26250,30508,BraTS20_364,3
216,0.9147097416406498,373,3397,0.8428249812390561,8904014,20216,23613,20589,BraTS20_369,1
217,0.9442699469416358,10605,7209,0.8944236684426691,8759269,150917,158126,161522,BraTS20_369,2
218,0.9534097468458811,2254,1701,0.9109675386069965,8883578,40467,42168,42721,BraTS20_369,3
